date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:03	390978/390978	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:02%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html	(from )
18:50:03	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-639c57d8-b0dba2d43a306af2;gz%22	https://maraviyainfotech.com/robots.txt		(from )
18:50:03	2461/2461	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Jul%202024%2011:50:03%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/images/favicon/favicon.png	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/images/favicon/favicon.png	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:04	252348/252348	---M-Z	200	added ('OK')	text/css	date:Sun,%2014%20Jul%202024%2011:50:03%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/vendor/ecicons.min.css	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/vendor/ecicons.min.css	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:04	71761/71761	---M-Z	200	added ('OK')	text/css	date:Sun,%2014%20Jul%202024%2011:50:03%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/plugins/animate.css	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/plugins/animate.css	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:04	13694/13694	---M-Z	200	added ('OK')	text/css	date:Sun,%2014%20Jul%202024%2011:50:03%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/plugins/swiper-bundle.min.css	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/plugins/swiper-bundle.min.css	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:04	35704/35704	---M-Z	200	added ('OK')	text/css	date:Sun,%2014%20Jul%202024%2011:50:04%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/plugins/jquery-ui.min.css	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/plugins/jquery-ui.min.css	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:04	1342/1342	---M-Z	200	added ('OK')	text/css	date:Sun,%2014%20Jul%202024%2011:50:04%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/plugins/countdownTimer.css	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/plugins/countdownTimer.css	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:05	1327/1327	---M-Z	200	added ('OK')	text/css	date:Sun,%2014%20Jul%202024%2011:50:04%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/plugins/slick.min.css	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/plugins/slick.min.css	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:05	237950/237950	---M-Z	200	added ('OK')	text/css	date:Sun,%2014%20Jul%202024%2011:50:04%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/plugins/bootstrap.css	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/plugins/bootstrap.css	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:05	33347/33347	---M-Z	200	added ('OK')	text/css	date:Sun,%2014%20Jul%202024%2011:50:05%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/demo1.css	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/assets/css/demo1.css	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
